Job Name,Median Pay,Entry-Level Education,Work Experience in a Related Occupation,On-the-Job Training,Number of Jobs,Job Outlook,
Data Scientists,"	$112,590 per year
$54.13 per hour",Bachelor's degree,None,None,"245,900",34%,x
"Advertising, Promotions, and Marketing Managers","$159,660 per year
$76.76 per hour",Bachelor's degree,Depends,None,"434,000",6%,x
Market Research Analysts,"$76,950 per year
$37.00 per hour",Bachelor's degree,None,None,"941,700",7%,x
Management Analysts,"$101,190 per year
$48.65 per hour",Bachelor's degree,Less than 5 years,None,"1,075",9%,x
Public Relations and Fundraising Managers,"$132,870 per year
$63.88 per hour",Bachelor's degree,5 years or more,None,"128,900",5%,x
General and Operations Managers,"$105,350 per year
$50.65 per hour",Bachelor's degree,5 years or more,None,"4,022,200",4%,x
Project Management Specialists,"$100,750 per year
$48.44 per hour",Bachelor's degree,None,None,"1,046,300",6%,x
,,,,,,,
3. One finding that is surprising is the job growth of data scientists. It is way higher than any other occupation that I researched.,,,,,,,
,,,,,,,
1,"Advertising, Promotions, and Marketing Managers",,,"High pay, high creativity, aligns with all interests I have ",,,
2,Project Management Specialists,,,"Good salary, good growth, interesting and creative job",,,
3,Data Scientists,,,"Good salary, good growth, though not the sole interest I have ",,,
4,Market Research Analysts,,,"Good entry point into marketing and business, but it is low paying and not a goal long-term ",,,
5,General and Operations Managers,,,Nebulous ,,,
6,Public Relations and Fundraising Managers,,,"So few people have this job, so it doesn't feel real",,,
7,Management Analysts,,,"So few people have this job, so it doesn't feel real",,,
